paperid,title,tools,devopsphase,challenge,theme,contributiontype
39,GitOps and Kubernetes Operator-based Network Function Configuration,"Kubernetes, GitLab, ArgoCD, kubebuilder, ygot","Deploy, Configure","Manual network configuration, scalability, synchronization delay","GitOps, Kubernetes Operator, Configuration as Code, Network Automation","Architecture Proposal, Empirical Evaluation"
40,Architecture Design of Enterprise Information System Based on Docker and DevOps Technology,"Docker, Zabbix, Ubuntu, MQ, Redis","Build, Deploy, Test, Monitor","Resource utilization, system scalability, single point failure, deployment overhead","Containerization, Microservices, DevOps, Distributed Architecture, CI/CD","Architecture Proposal, Conceptual Analysis"
21,Security Misconfigurations in Open Source Kubernetes Manifests: An Empirical Study,"Kubernetes, Helm, Kustomize, kube-linter","Configure, Deploy, Secure","Security misconfigurations, privilege escalation, insecure defaults","Security in Kubernetes, Misconfiguration Detection, DevSecOps","Empirical Study, Tool-based Analysis"
3,Expanding DevSecOps Practices and Clarifying the Concepts within Kubernetes Ecosystem,"Kubernetes, Falco, Open Policy Agent (OPA), Helm, Kyverno, kube-bench","Secure, Deploy, Monitor","Ambiguity in DevSecOps practices, enforcement gaps, unclear boundaries in Kubernetes security layers","DevSecOps, Policy Enforcement, Kubernetes Security, Security Automation","Conceptual Framework, Tool Evaluation"
23,Investigating the Impact of Containerization on the Deployment Process in DevOps,"Docker, Kubernetes, GitLab CI/CD, Jenkins","Build, Test, Deploy","Complex deployment pipelines, testing environment consistency, scaling challenges","Containerization, DevOps Automation, CI/CD, Deployment Optimization","Empirical Study, Deployment Analysis"
41,"eddy4R 0.2.0: a DevOps model for community-extensible processing and analysis of eddy-covariance data based on R, Git, Docker, and HDF5","Docker, Git, R, HDF5, Jenkins","Build, Deploy, Automate","Reproducibility, community extensibility, workflow standardization, large-scale data processing","DevOps in Scientific Workflows, Reproducibility, Data Processing Pipelines, Containerization","DevOps Model Proposal, Domain-Specific Tool Integration"
42,"Learning from, Understanding, and Supporting DevOps Artifacts for Docker","Docker, Dockerfile, GitHub, HADOLINT, Snyk","Build, Test, Secure","Low-quality Dockerfiles, outdated base images, security vulnerabilities, build failures","Containerization, DevOps Artifacts, Quality Assurance, DevSecOps","Empirical Study, Tool Analysis"
2,SecCo: Automated Services to Secure Containers in the DevOps Paradigm,"Docker, Kubernetes, OpenSCAP, Sysdig, Dockerfile","Secure, Build, Monitor","Container security automation, image scanning, runtime protection, configuration validation","DevSecOps, Container Security, Security Automation, Continuous Security","Framework Proposal, Security Toolchain Integration"
1,Kubernetes Deployment Options for On-Prem Clusters,"Kubernetes, kubeadm, k3s, microk8s, RKE","Deploy, Configure","Complex deployment setup, lack of automation, hardware constraints, upgrade issues","Kubernetes Deployment, On-Premise Clusters, Lightweight Kubernetes, Automation","Deployment Strategy Comparison, Tool Evaluation"
43,Implementasi Deployment Layanan Website Menggunakan Kubernetes Dengan Ci/Cd Jenkins,"Docker, Jenkins, GitHub, Kubernetes, AWS","Continuous Integration, Continuous Deployment, Performance Testing","Initial setup time, Resource overhead in Kubernetes, Manual process might be faster for simple apps","DevOps pipeline automation, Infrastructure deployment, CI/CD in practice, Kubernetes orchestration, Containerization","Implementation Case Study, Performance Evaluation"
